,Authority,Event-code,Description ENG
1487,EE,SPCE,REQUEST FOR EXTENSION OF SUPPLEMENTARY PROTECTION CERTIFICATE  FILED [PAEDIATRIC EXTENSION]
1517,EP,25N,VALID IN ALL DESIGNATED STATES
1519,EP,26D,OPPOSITION DEEMED NOT TO HAVE BEEN FILED
1520,EP,26N,NO OPPOSITION FILED
1521,EP,26U,OPPOSITION FOUND INADMISSIBLE
1523,EP,27C,OPPOSITION PROCEEDINGS TERMINATED
1524,EP,27O,OPPOSITION REJECTED
1550,EP,AK,DESIGNATED CONTRACTING STATES
1552,EP,AKX,DESIGNATION FEES PAID
1610,EP,AX,REQUEST FOR EXTENSION OF THE EUROPEAN PATENT
1611,EP,AXX,EXTENSION FEES PAID
1638,EP,D25,LAPSED IN A CONTRACTING STATE (DELETED)
1656,EP,DBV,DESIGNATED CONTRACTING STATES (DELETED)
1662,EP,EL,FR: TRANSLATION OF CLAIMS FILED
1663,EP,EL1,FR: TRANSLATION OR CORRECTED TRANSLATION OF CLAIMS FILED
1664,EP,EM,FR: REVISED TRANSLATION OF CLAIMS FILED
1667,EP,EN4,FR: NOTIFICATION OF NON FILING TRANSLATION IN AN EARLIER BOPI IS ERRONEOUS
1668,EP,EPTA,LU: LAST PAID ANNUAL FEE
1669,EP,ET,FR: TRANSLATION FILED
1670,EP,ET1,FR: TRANSLATION FILED ** REVISION OF THE TRANSLATION OF THE PATENT OR THE CLAIMS
1671,EP,ET2,FR: TRANSLATION FILED ** REVISION OF THE TRANSLATION OF THE MODIFIED PATENT AFTER OPPOSITION
1672,EP,ET3,FR: TRANSLATION FILED ** DECISION CONCERNING OPPOSITION
1673,EP,ETR,FR: TRANSLATION FILED ** RESTORATION OF THE RIGHT
1679,EP,GBA,GB: TRANSLATION AMENDED (GB SECTION 77(6)(A)/1977)
1680,EP,GBAT,GB: AMENDMENT OF TRANSLATION ALLOWED (OF EP PATENT) (GB SECT. 80(3)/1977)
1682,EP,GBC,GB: TRANSLATION OF CLAIMS FILED (GB SECTION 78(7)/1977)
1683,EP,GBC8,GB: TRANSLATION OF CLAIMS FILED (GB SECTION 80(3)/1977)
1684,EP,GBCC,GB: CORRECTED TRANSLATION (OF CLAIMS) FILED (GB SECTION 80(3)/1977)
1685,EP,GBDL,"GB: DELETE ""EUROPEAN PATENT CEASED"" FROM JOURNAL"
1695,EP,GBT,GB: TRANSLATION OF EP PATENT FILED (GB SECTION 77(6)(A)/1977)
1696,EP,GBT8,GB: TRANSLATION FILED (GB SECTION 80(3)/1977)
1697,EP,GBTA,GB: TRANSLATION OF AMENDED EP PATENT FILED (GB SECTION 77(6)(B)/1977)
1698,EP,GBTC,GB: CORRECTED TRANSLATION (OF EP PATENT) FILED (GB SECTION 80(3)/1977)
1722,EP,IECL,IE: TRANSLATION FOR EP CLAIMS FILED
1725,EP,ITCL,IT: TRANSLATION FOR EP CLAIMS FILED
1727,EP,ITF,IT: TRANSLATION FOR A EP PATENT FILED
1760,EP,NLR3,NL: RECEIPT OF MODIFIED TRANSLATIONS IN THE NETHERLANDS LANGUAGE AFTER AN OPPOSITION PROCEDURE
