,Authority,Event-code,Influence,Description ENG,Description ORI,Event-class,Event-class Description,mapped_status,is_granted
0,AR,FA,-,ABANDONMENT OR WITHDRAWAL,ABANDONO O RETIRO,B,APPLICATION DISCONTINUATION,DEAD,False
1,AR,FB,-,SUSPENSION OF GRANTING PROCEDURE,SUSPENSION DEL PROCESO DE CONCESION,T,ADMINISTRATIVE PROCEDURE ADJUSTMENT,PENDING,False
2,AR,FC,-,REFUSAL,DENEGACION,B,APPLICATION DISCONTINUATION,DEAD,False
3,AR,FD,-,"APPLICATION DECLARED VOID OR LAPSED, E.G., DUE TO NON-PAYMENT OF FEE","SOLICITUD DECLARADA NULA O CADUCADA, POR EJEMPLO, POR IMPAGO DE LAS TASAS",B,APPLICATION DISCONTINUATION,DEAD,False
4,AR,FG,+,"GRANT, REGISTRATION","CONCESION, REGISTRO",F,IP RIGHT GRANT,ALIVE,False
5,AT,A1AW,-,REVOCATION OF PUBLISHED EXAMINED APPLICATION,AUFGEBOTSWIDERRUF,B,APPLICATION DISCONTINUATION,DEAD,False
6,AT,A1B,,CORRECTION,BERICHTIGUNG,,,NEUTRAL,False
7,AT,A1J,-,WITHDRAWAL PARAGRAPH 166 LIT. 6,ZURUECKGENOMMEN PAR. 166 ABS. 6,B,APPLICATION DISCONTINUATION,DEAD,False
8,AT,A1V,-,REFUSAL,PATENTVERSAGUNG,B,APPLICATION DISCONTINUATION,DEAD,False
9,AT,A1WE,+,CONCESSION OF RESTITUTION,WIEDEREINSETZUNGSBEWILLIGUNG,C,APPLICATION REVIVAL,ALIVE,False
10,AT,A1WR,-,REVOCATION,WIDERRUF,,,DEAD,False
11,AT,A1Z,-,WITHDRAWN,ZURUECKGEZOGEN,B,APPLICATION DISCONTINUATION,DEAD,False
12,AT,AJI,+,ERRONEOUS WITHDRAWAL,IRRTUEMLICH ZURUECKGENOMMEN,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
13,AT,AZ,-,WITHDRAWN,ZURUECKGEZOGEN,B,APPLICATION DISCONTINUATION,DEAD,False
14,AT,EB,,CORRECTION OF GRANT,BERICHTIGUNG EINER ERTEILUNG,,,NEUTRAL,False
15,AT,EBA,,NOTIFICATION SUSPENDED (E-SERIES),BEKANNTMACHUNG AUFGEHOBEN (E-SERIE),T,ADMINISTRATIVE PROCEDURE ADJUSTMENT,NEUTRAL,False
16,AT,EDES,-,AT NOT NOMINATED AS A DESIGNATED STATE,AT NICHT ALS VERTRAGSSTAAT BENANNT,W,OTHER,UNKNOWN,False
17,AT,EEB,,CORRECTION OF GRANT,BERICHTIGUNG EINER ERTEILUNG,,,NEUTRAL,False
18,AT,EECC,,CORRECTIONS OF CLAIMS AS TO PAR. 4/2 FILED,BERICHTIGUNG DER PATENTANSPRUECHE GEMAESS PAR. 4/2 EINGEREICHT,W,OTHER,NEUTRAL,False
19,AT,EEFA,,CHANGE OF THE COMPANY NAME,FIRMENAENDERUNG,R,PARTY DATA CHANGE,NEUTRAL,False
20,AT,EEGN,-,PATENT NOT VALID IN AUSTRIA,GILT ALS NICHT ERTEILT,W,OTHER,UNKNOWN,False
21,AT,EEIH,,CHANGE IN THE PERSON OF PATENT OWNER,AENDERUNG IN DER PERSON DES INHABERS,R,PARTY DATA CHANGE,NEUTRAL,False
22,AT,EEK,-,PROCLAMATION AS TO PARAGRAPH 128 PATENT LAW,KUNDMACHUNG GEM. PAR. 128 PATG.,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
23,AT,EEK1,,PROCLAMATION AS TO PARAGRAPH 128 PATENT LAW,KUNDMACHUNG GEM. PARAGRAPH 128 PATG,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
24,AT,EELA,-,CANCELLED DUE TO LAPSE OF TIME,ERLOSCHEN DURCH ZEITABLAUF,H,IP RIGHT CESSATION,DEAD,False
25,AT,EELB,,CORRECTION OF A CANCELLATION,BERICHTIGUNG EINER LOESCHUNG,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
26,AT,EELI,+,ERRONEOUS LAPSE OF AN EP NUMBER,IRRTUEMLICHE LOESCHUNG EINER EP NUMMER,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
27,AT,EELJ,-,LAPSED DUE TO NON-PAYMENT OF THE ANNUAL FEE,ERLOSCHEN DURCH NICHTZ. D. JAHRESGEB.,,,DEAD,False
28,AT,EELV,-,LAPSED DUE TO WITHDRAWAL,ERLOSCHEN DURCH VERZICHT,B,APPLICATION DISCONTINUATION,DEAD,False
29,AT,EEN,-,DECLARATION OF NULLIFICATION,NICHTIGERKLAERUNG,H,IP RIGHT CESSATION,DEAD,False
30,AT,EENE,,NOMINATION OF INVENTOR,NENNUNG ALS ERFINDER,R,PARTY DATA CHANGE,NEUTRAL,False
31,AT,EEPA,,CORRECTION: FIRST CLAIM,BERICHTIGUNG: PATENTANSPRUCH 1,,,NEUTRAL,False
32,AT,EETN,-,DECLARATION OF NULLIFICATION IN PART,TEILNICHTIGERKLAERUNG,M,IP RIGHT MAINTENANCE,DEAD,False
33,AT,EETR,,CORRECTION OF THE TRANSLATION AS TO PAR. 6/3 PATV-EG,BERICHTIGUNG DER UEBERSETZUNG GEM. PAR. 6 ABS. 3 PATV-EG,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
34,AT,EETV,-,PARTIALLY WITHDRAWN,TEILVERZICHT,M,IP RIGHT MAINTENANCE,UNKNOWN,False
35,AT,EEVS,,CORRECTION: LANGUAGE OF PUBLICATION,BERICHTIGUNG: VEROEFFENTLICHUNGSSPRACHE,,,PENDING,False
36,AT,EEWE,+,AUTHORIZATION FOR RESTITUTION,WIEDEREINSETZUNGSBEWILLIGUNG,K,IP RIGHT REVIVAL,ALIVE,False
37,AT,EEZF,+,GRANT FOR A CERTIFICATE OF PROTECTION (E-SERIES),ERTEILUNG EINES SCHUTZZERTIFIKATES (E-SERIE),G,PROTECTION BEYOND IP RIGHT TERM,ALIVE,False
38,AT,EFA,,CHANGE IN THE COMPANY NAME,FIRMENAENDERUNG,R,PARTY DATA CHANGE,NEUTRAL,False
39,AT,EGA,-,DECISION OF GRANT WAS REVOKED,DIE ERTEILUNG WURDE AUFGEHOBEN,F,IP RIGHT GRANT,DEAD,False
40,AT,EIH,,CHANGE IN THE PERSON OF PATENT OWNER,AENDERUNG IN DER PERSON DES INHABERS,R,PARTY DATA CHANGE,NEUTRAL,False
41,AT,EK,+,PROCLAMATION AS TO PARAGRAPH 128 PATENT LAW (REINSTATEMENT AFTER ERRONEOUS INVALIDATION BY THE PATENT OFFICE),KUNDMACHUNG GEM. PAR. 128 PATG.,Y,CORRECTION AND DELETION OF EVENT INFORMATION,ALIVE,False
42,AT,ELA,-,EXPIRED DUE TO LAPSE OF TIME,ERLOSCHEN DURCH ZEITABLAUF,H,IP RIGHT CESSATION,DEAD,False
43,AT,ELI,+,ERRONEOUS LAPSE,IRRTUEMLICHE LOESCHUNG,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
44,AT,ELJ,-,CEASED DUE TO NON-PAYMENT OF THE ANNUAL FEE,ERLOSCHEN DURCH NICHTZ. D. JAHRESGEB.,H,IP RIGHT CESSATION,DEAD,False
45,AT,ELV,-,CEASED DUE TO RENUNCIATION,ERLOSCHEN DURCH VERZICHT,H,IP RIGHT CESSATION,DEAD,False
46,AT,EN,-,DECLARATION OF NULLIFICATION,NICHTIGERKLAERUNG,H,IP RIGHT CESSATION,DEAD,False
47,AT,ENE,,INVENTOR NAMED,NENNUNG ALS ERFINDER,R,PARTY DATA CHANGE,NEUTRAL,False
48,AT,EPS,-,PROCESS SUSPENDED BEFORE GRANT OF PATENT,DAS VERFAHREN WURDE VOR DER PATENTERTEILUNG AUSGESETZT,T,ADMINISTRATIVE PROCEDURE ADJUSTMENT,UNKNOWN,True
49,AT,ESZA,+,APPLICATION FILED FOR A CERTIFICATE OF PROTECTION (E-SERIES),ANMELDUNG EINES SCHUTZZERTIFIKATES (E-SERIE),G,PROTECTION BEYOND IP RIGHT TERM,PENDING,False
50,AT,ESZL,-,CERTIFICATE OF PROTECTION EXPIRED (E-SERIES),SCHUTZZERTIFIKAT ERLOSCHEN (E-SERIE),H,IP RIGHT CESSATION,DEAD,False
51,AT,ESZP,,APPLICATION FOR PROLONGATION OF SPC,ANTRAG AUF VERLAENGERUNG DER LAUFZEIT EINES SCHUTZZERTIFIKATS,G,PROTECTION BEYOND IP RIGHT TERM,PENDING,False
52,AT,ESZW,-,CERTIFICATE OF PROTECTION REJECTED (E-SERIES),SCHUTZZERTIFIKAT ZURUECKGEWIESEN (E-SERIE),G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
53,AT,ESZX,,CORRECTION TO GRANTED SPC,BERICHTIGUNG ZU ERTEILTEM SCHUTZZERTIFIKAT,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
54,AT,ESZZ,-,CERTIFICATE OF PROTECTION WITHDRAWN (E-SERIES),SCHUTZZERTIFIKAT ZURUECKGEZOGEN (E-SERIE),G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
55,AT,ETN,-,DECLARATION OF NULLIFICATION IN PART,TEILNICHTIGERKLAERUNG,M,IP RIGHT MAINTENANCE,DEAD,False
56,AT,ETV,-,PARTIAL RENUNCIATION,TEILVERZICHT,M,IP RIGHT MAINTENANCE,DEAD,False
57,AT,EWE,+,AUTHORIZATION FOR RESTITUTION,WIEDEREINSETZUNGSBEWILLIGUNG,K,IP RIGHT REVIVAL,ALIVE,False
58,AT,EZF,+,GRANT OF A CERTIFICATE OF PROTECTION,ERTEILUNG EINES SCHUTZZERTIFIKATES,G,PROTECTION BEYOND IP RIGHT TERM,ALIVE,False
59,AT,HA,,CHANGE OR ADDITION OF NEW INVENTOR,AENDERUNG DER ERFINDERNENNUNG,R,PARTY DATA CHANGE,NEUTRAL,False
60,AT,HA9K,,MENTION OF THE INVENTOR,NENNUNG ALS ERFINDER,R,PARTY DATA CHANGE,NEUTRAL,False
61,AT,HC,,CHANGE OF THE FIRM NAME OR FIRM ADDRESS,FIRMENAENDERUNG,R,PARTY DATA CHANGE,NEUTRAL,False
62,AT,MA03,-,REVOCATION OF THE PATENT,LOESCHUNG WEGEN WIDERRUF,H,IP RIGHT CESSATION,DEAD,False
63,AT,MA04,-,WITHDRAWAL (RENUNCIATION),LOESCHUNG WEGEN VERZICHT,H,IP RIGHT CESSATION,DEAD,False
64,AT,MA9K,-,CEASED DUE TO RENUNCIATION,ERLOESCHUNG INFOLGE VERZICHTERKLAERUNG,H,IP RIGHT CESSATION,DEAD,False
65,AT,MF02,-,NULLIFICATION OF THE PATENT,LOESCHUNG WEGEN NICHTIGKEIT,H,IP RIGHT CESSATION,DEAD,False
66,AT,MK05,-,DELETION ACC. TO PAR. 5 (WITHDRAWAL OF THE TRANSLATION OF THE EP PATENT),LOESCHUNG GEMAESS PAR. 5 (ZURUECKZIEHUNG DER UEBERSETZUNG DES EP PATENTS),H,IP RIGHT CESSATION,DEAD,False
67,AT,MK07,-,EXPIRY,LOESCHUNG WEGEN ZEITABLAUFS,H,IP RIGHT CESSATION,DEAD,False
68,AT,MM01,-,LAPSE BECAUSE OF NOT PAYING ANNUAL FEES,LOESCHUNG WEGEN NICHTZAHLUNG DER JAEHRLICHEN GEBUEHR,H,IP RIGHT CESSATION,DEAD,False
69,AT,MM9K,-,LAPSE DUE TO NON-PAYMENT OF RENEWAL FEE,ERLOESCHUNG INFOLGE UNTERLASSUNG DER ZAHLUNG DER JAHRESGEBUEHR,H,IP RIGHT CESSATION,DEAD,False
70,AT,MN9K,-,CANCELLED DUE TO LAPSE OF TIME,ERLOESCHUNG INFOLGE ABLAUFES DER GESETZLICHEN SCHUTZDAUER,H,IP RIGHT CESSATION,DEAD,False
71,AT,NF05,+,REINSTATEMENT AFTER FORMER REVOCATION OF TRANSLATION OF EP PATENT,WIEDEREINSETZUNG EP PATENTS GEMAESS PAR 5 (NACH VORHERIGER ZURUECKZIEHUNG DER UEBERSETZUNG DES EP PATENTS),K,IP RIGHT REVIVAL,ALIVE,False
72,AT,NF8K,+,REINSTATED - DUE TO THE ACCEPTANCE OF A LATE YEAR MAINTENANCE FEE,WIEDEREINSETZUNGSBEWILLIGUNG - WEGEN VERSAEUMUNG DER FRIST ZUR ZAHLUNG EINER JAHRESGEBUEHR,K,IP RIGHT REVIVAL,ALIVE,False
73,AT,NF9K,+,REINSTATEMENT,WIEDEREINSETZUNGSBEWILLIGUNG,K,IP RIGHT REVIVAL,ALIVE,False
74,AT,NFJG,+,REINSTATEMENT AFTER LATE PAYMENT OF ANNUAL FEES,WIEDEREINSETZUNG NACH VERSPAETETER ZAHLUNG DER JAHRESGEBUEHR,K,IP RIGHT REVIVAL,ALIVE,False
75,AT,PC,,CHANGE OF THE OWNER,AENDERUNG AN DER PERSON DES PATENTINHABERS,R,PARTY DATA CHANGE,NEUTRAL,False
76,AT,PD9K,,CHANGE OF OWNER OF UTILITY MODEL,AENDERUNGEN IN DER PERSON DES GEBRAUCHSMUSTERINHABERS,R,PARTY DATA CHANGE,NEUTRAL,False
77,AT,PTA,-,MAINTAINED IN AMEND FORM AFTER OPPOSITION,NACH EINSPRUCH IM EINGESCHRAENKTEN UMFANG AUFRECHTERHALTEN,M,IP RIGHT MAINTENANCE,UNKNOWN,False
78,AT,PW9K,-,PARTIAL RENOUNCEMENT,TEILVERZICHT,M,IP RIGHT MAINTENANCE,UNKNOWN,False
79,AT,PWDR,-,PARTLY WITHDRAWN,TEILWEISE WIDERRUFEN,M,IP RIGHT MAINTENANCE,UNKNOWN,False
80,AT,R90,-,INTERRUPTION IN THE CASE REFERRED TO IN RULE 90,UNTERBRECHUNG GEM. REGEL 90,,,UNKNOWN,False
81,AT,REF,+,REFERENCE TO AT NUMBER (EP PATENT VALIDATED IN AUSTRIA),NENNUNG DER E-NUMMER (EP PATENT TRITT IN AT NATIONALE PHASE EIN),W,OTHER,ALIVE,True
82,AT,REJ,,REJECTION,ZURUECKWEISUNG,B,APPLICATION DISCONTINUATION,PENDING,False
83,AT,REJO,-,OPPOSITION ACCEPTED [PATENT REVOKED],EINSPRUCH STATTGEGEBEN,L,IP RIGHT REVIEW REQUEST,DEAD,False
84,AT,REN,-,CEASED DUE TO NON-PAYMENT OF THE ANNUAL FEE,ERLOSCHEN INFOLGE NICHTZ. D. JAHRESGEB.,H,IP RIGHT CESSATION,DEAD,False
85,AT,RER,-,CEASED AS TO PARAGRAPH 5 LIT. 3 LAW INTRODUCING PATENT TREATIES,ERLOSCHEN GEM. PAR. 5 ABS. 3 PATVEG.,H,IP RIGHT CESSATION,DEAD,False
86,AT,REZ,-,DELETED DUE TO WITHDRAWAL,GELOESCHT INFOLGE ZURUECKNAHME,H,IP RIGHT CESSATION,DEAD,False
87,AT,RH,-,DECLARED NULL AND VOID,NICHTIGERKLAERUNG,H,IP RIGHT CESSATION,DEAD,False
88,AT,RRZN,+,REVOCATION OF REVOCATION,WIDERRUF DES WIDERRUF,K,IP RIGHT REVIVAL,ALIVE,False
89,AT,RVE,-,REJECTION DUE TO AN OPPOSITION FILED WITH THE EPO,VERSAGUNG AUF GRUND EINES EINSPRUCHES IM EPA,,,UNKNOWN,False
90,AT,RXX,,MISCELLANEOUS,VERSCHIEDENES,,,NEUTRAL,False
91,AT,RZN,-,PATENT REVOKED,WIDERRUF DES PATENTS,H,IP RIGHT CESSATION,DEAD,False
92,AT,SPCC,,CORRECTION TO AN SPC,BERICHTIGUNG EINES SCHUTZZERTIFIKATS,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
93,AT,SPCE,+,FILING FOR EXTENDING AN SPC (PAEDIATRIC MEDICAMENT),ANMELDUNG EINER VERLAENGERUNG EINES SCHUTZZERTIFIKATS (MEDIKAMENT BEI KINDERN),G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
94,AT,SPCF,+,FILING AN SPC,ANMELDUNG EINES SCHUTZZERTIFIKATS,G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
95,AT,SPCG,+,GRANT OF AN SPC,ERTEILUNG EINES SCHUTZZERTIFIKATS,G,PROTECTION BEYOND IP RIGHT TERM,ALIVE,False
96,AT,SPCI,+,REINSTATEMENT AFTER LATE PAYMENT OF ANNUAL FEES FOR AN SPC,WIEDEREINSETZUNG EINES SCHUTZZERTIFIKATS NACH VERSPAETETER ZAHLUNG DER JAHRESGEBUEHR,K,IP RIGHT REVIVAL,ALIVE,False
97,AT,SPCL,-,LAPSE OF AN SPC,AUSLAUFEN DES SCHUTZZERTIFIKATS WEGEN NICHTZAHLUNG DER JAHRESGEBUEHR,H,IP RIGHT CESSATION,DEAD,False
98,AT,SPCN,-,NULLIFICATION OF AN SPC,LOESCHUNG DES SCHUTZZERTIFIKATS WEGEN NICHTIGKEIT,H,IP RIGHT CESSATION,DEAD,False
99,AT,SPCR,-,REVOCATION OF AN SPC,ZURUECKWEISUNG EINES SCHUTZZERTIFIKATS,H,IP RIGHT CESSATION,DEAD,False
100,AT,SPCT,,CHANGE OF THE OWNER OF AN SPC,AENDERUNG DES INHABERS EINES SCHUTZZERTIFIKATS,R,PARTY DATA CHANGE,NEUTRAL,False
101,AT,SPCU,,CHANGE IN THE NAME OR ADDRESS OF THE FIRM OWNING AN SPC,FIRMENAENDERUNG FUER EIN SCHUTZZERTIFIKAT,R,PARTY DATA CHANGE,NEUTRAL,False
102,AT,SPCW,-,WITHDRAWAL (RENUNCIATION) OF AN SPC,ZURUECKZIEHUNG DES SCHUTZZERTIFIKATS,H,IP RIGHT CESSATION,DEAD,False
103,AT,SPCX,-,EXPIRY OF AN SPC,LOESCHUNG WEGEN ZEITABLAUFS DES SCHUTZZERTIFIKATS,H,IP RIGHT CESSATION,DEAD,False
104,AT,SPCY,-,REJECTION OF THE EXTENSION OF AN SPC,VERWEIGERUNG DER VERLAENGERUNG DES SCHUTZZERTIFIKATS,,,UNKNOWN,False
105,AT,SPCZ,+,GRANT OF EXTENSION FOR AN SPC (PAEDIATRIC MEDICAMENT),ERTEILUNG DER VERLAENGERUNG EINES SCHUTZZERTIFIKATS (MEDIKAMENT BEI KINDERN),G,PROTECTION BEYOND IP RIGHT TERM,ALIVE,False
106,AT,SZA,+,APPLICATION FILED FOR A CERTIFICATE OF PROTECTION,ANMELDUNG EINES SCHUTZZERTIFIKATES,G,PROTECTION BEYOND IP RIGHT TERM,PENDING,False
107,AT,SZV,+,SPC PROLONGED,SCHUTZZERTIFIKAT VERLAENGERT,G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
108,AT,SZW,-,CERTIFICATE OF PROTECTION REJECTED,SCHUTZZERTIFIKAT ZURUECKGEWIESEN,G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
109,AT,SZZ,-,CERTIFICATE OF PROTECTION WITHDRAWN,SCHUTZZERTIFIKAT ZURUECKGEZOGEN,G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
110,AT,TC9K,,CHANGE OF COMPANY,FIRMENAENDERUNG,R,PARTY DATA CHANGE,NEUTRAL,False
111,AT,UEP,+,PUBLICATION OF TRANSLATION OF EUROPEAN PATENT SPECIFICATION,UEBERSETZUNG DER EUROPAEISCHEN PATENTSCHRIFT AUSGEGEBEN,Q,DOCUMENT PUBLICATION,PENDING,False
112,AT,UW,,CHANGE OF INTELLECTUAL PROPERTY RIGHT,UMWANDLUNG,F,IP RIGHT GRANT,NEUTRAL,False
113,AT,XX,,MISCELLANEOUS:,DIVERSES:,,,NEUTRAL,False
114,AU,ADV,,ADVERTISEMENT,ADVERTISEMENT,Z,CLASSIFICATION PENDING,NEUTRAL,False
115,AU,AMFD,,AMENDMENT OF FILING DATE,AMENDMENT OF FILING DATE,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
116,AU,BG,,"COMPLETE SPECIFICATIONS TREATED AS PROVISIONAL SPECIFICATIONS, SECTION 37","COMPLETE SPECIFICATIONS TREATED AS PROVISIONAL SPECIFICATIONS, SECTION 37",D,SEARCH AND EXAMINATION,PENDING,False
117,AU,BH,,COMPLETE SPECIFICATION TREATED AS INNOVATION SPECIFICATION,COMPLETE SPECIFICATION TREATED AS INNOVATION SPECIFICATION,D,SEARCH AND EXAMINATION,PENDING,False
118,AU,CB,-,OPPOSITION FILED,OPPOSITION LODGED BY,E,PRE-GRANT REVIEW REQUEST,PENDING,False
119,AU,CB4,-,OPPOSITION FILED UNDER SECTION 104(4),OPPOSITION UNDER SECTION 104(4) LODGED,E,PRE-GRANT REVIEW REQUEST,PENDING,False
120,AU,CC,+,OPPOSITION DISMISSED,OPPOSITION DISMISSED,E,PRE-GRANT REVIEW REQUEST,ALIVE,False
121,AU,CC1,+,OPPOSITION REFUSED - PROCEED TO GRANT,OPPOSITION DISMISSED - PROCEED TO GRANT,E,PRE-GRANT REVIEW REQUEST,ALIVE,False
122,AU,CC4,+,OPPOSITION UNDER SECTION 104(4) REFUSED,OPPOSITION UNDER SECTION 104(4) DISMISSED,E,PRE-GRANT REVIEW REQUEST,ALIVE,False
123,AU,CFC,-,OPPOSITION PROCEEDINGS - APPLICATION WITHDRAWN,APPLICATION WITHDRAWN - OPPOSITION PROCEEDINGS,L,IP RIGHT REVIEW REQUEST,PENDING,False
124,AU,CH,+,OPPOSITION WITHDRAWN,OPPOSITION WITHDRAWN,E,PRE-GRANT REVIEW REQUEST,ALIVE,False
125,AU,CH4,+,OPPOSITION UNDER SECTION 104(4) WITHDRAWN,OPPOSITION UNDER SECTION 104(4) WITHDRAWN,E,PRE-GRANT REVIEW REQUEST,ALIVE,False
126,AU,CHRG,,CHARGES [MORTGAGE] REGISTERED,CHARGES REGISTERED,S,INFORMATION ON LICENSING AND SIMILAR TRANSACTIONS,NEUTRAL,False
127,AU,CLAC,,OPPOSITION PROCEEDINGS CLOSED DUE TO NON-PAYMENT OF CONTINUATION FEE,LAPSED CONTINUATION FEE - OPPOSITION PROCEEDINGS,L,IP RIGHT REVIEW REQUEST,NEUTRAL,False
128,AU,CNC5,-,NOTICE OF OPPOSITION UNDER SECTION 223(6) AND CHAPTER 5,NOTICE OF OPPOSITION UNDER SECTION 223(6) AND CHAPTER 5,E,PRE-GRANT REVIEW REQUEST,PENDING,False
129,AU,CR,+,OPPOSITION PROCEEDINGS - APPLICATION REFUSED,OPPOSITION PROCEEDINGS - APPLICATION REFUSED,L,IP RIGHT REVIEW REQUEST,PENDING,False
130,AU,CSOP,,COMPLETE SPECIFICATION OPEN TO PUBLIC INSPECTION ACCORDING SECT. 54 PATENTS ACT 1990,COMPLETE SPECIFICATION OPEN TO PUBLIC INSPECTION ACCORDING SECT. 54 PATENTS ACT 1990,Q,DOCUMENT PUBLICATION,PENDING,False
131,AU,CSPA,+,PROVISION UNDER SECT. 173 (PUBLICATION FORBIDDEN) REVOKED: COMPLETE SPECIFICATION ACCEPTED,PROVISION UNDER SECT. 173 (PUBLICATION FORBIDDEN) REVOKED: COMPLETE SPECIFICATION ACCEPTED,,,PENDING,False
132,AU,CSPF,,PROVISION UNDER SECT. 173 (PUBLICATION FORBIDDEN) REVOKED: COMPLETE SPECIFICATION LODGED,PROVISION UNDER SECT. 173 (PUBLICATION FORBIDDEN) REVOKED: COMPLETE SPECIFICATION LODGED,Q,DOCUMENT PUBLICATION,PENDING,False
133,AU,CSPL,-,PROVISION UNDER SECT. 173 (PUBLICATION FORBIDDEN) REVOKED: COMPLETE SPECIFICATION LAPSED,PROVISION UNDER SECT. 173 (PUBLICATION FORBIDDEN) REVOKED: COMPLETE SPECIFICATION LAPSED,,,DEAD,False
134,AU,CSPO,,PROVISION UNDER SECT. 173 (PUBLICATION FORBIDDEN) REVOKED: COMPLETE SPECIFICATION OPEN TO PUBLIC INSPECTION,PROVISION UNDER SECT. 173 (PUBLICATION FORBIDDEN) REVOKED: COMPLETE SPECIFICATION OPEN TO PUBLIC INSPECTION,Q,DOCUMENT PUBLICATION,PENDING,False
135,AU,CTIS,,COMPLETE SPECIFICATION TREATED AS INNOVATON SPECIFICATION (SECTION 104),COMPLETE SPECIFICATION TREATED AS INNOVATON SPECIFICATION (SECTION 104),D,SEARCH AND EXAMINATION,PENDING,False
136,AU,CW,+,OPPOSITION WITHDRAWN - PROCEED TO GRANT,OPPOSITION WITHDRAWN - PROCEED TO GRANT,F,IP RIGHT GRANT,ALIVE,False
137,AU,DA2,,APPLICATIONS FOR AMENDMENT SECTION 104,APPLICATIONS FOR AMENDMENT SECTION 104,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
138,AU,DA3,,AMENDMENTS MADE SECTION 104,AMENDMENTS MADE SECTION 104,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
139,AU,DA4,,NOTICE OF INTENTION TO AMEND COMPL. SPEC./ LETTER PATENT ETC. PURSUANT TO ORDER 58 RULE 10 OF FED. COURT RULES,NOTICE OF INTENTION TO AMEND COMPL. SPEC./ LETTER PATENT ETC. PURSUANT TO ORDER 58 RULE 10 OF FED. COURT RULES,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
140,AU,DA5,,AMENDMENT SECTION 105 PATENTS ACT 1990 - AMENDMENT DIRECTED BY COURT,AMENDMENT SECTION 105 PATENTS ACT 1990 - AMENDMENT DIRECTED BY COURT,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
141,AU,DA6,,"AMENDMENTS SECTION 104, APPLICATION FOR AMENDMENT WITHDRAWN","AMENDMENTS SECTION 104, APPLICATION FOR AMENDMENT WITHDRAWN",P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
142,AU,FF,+,CERTIFIED INNOVATION PATENT,CERTIFIED INNOVATION PATENT,F,IP RIGHT GRANT,ALIVE,False
143,AU,FGA,+,LETTERS PATENT SEALED OR GRANTED (STANDARD PATENT),LETTERS PATENT SEALED OR GRANTED (STANDARD PATENT),F,IP RIGHT GRANT,ALIVE,True
144,AU,FGD,+,DUPLICATE LETTERS PATENT SEALED OR GRANTED,DUPLICATE LETTERS PATENT SEALED OR GRANTED,F,IP RIGHT GRANT,ALIVE,True
145,AU,FGF,+,PATENT SEALED OR GRANTED (PETTY PATENT),PATENT SEALED OR GRANTED (PETTY PATENT),F,IP RIGHT GRANT,ALIVE,True
146,AU,FGI,+,LETTERS PATENT SEALED OR GRANTED (INNOVATION PATENT),LETTERS PATENT SEALED OR GRANTED (INNOVATION PATENT),F,IP RIGHT GRANT,ALIVE,True
147,AU,GC,,CANCELLATION OF LICENCE AGREEMENT,CANCELLATION OF LICENCE AGREEMENT,S,INFORMATION ON LICENSING AND SIMILAR TRANSACTIONS,NEUTRAL,False
148,AU,GD,,LICENCE REGISTERED,LICENCE REGISTERED,S,INFORMATION ON LICENSING AND SIMILAR TRANSACTIONS,NEUTRAL,False
149,AU,GDD,,DISCHARGE OF A LICENCE,DISCHARGE OF A LICENCE,S,INFORMATION ON LICENSING AND SIMILAR TRANSACTIONS,NEUTRAL,False
150,AU,GM,,MORTGAGES REGISTERED,MORTGAGES REGISTERED,S,INFORMATION ON LICENSING AND SIMILAR TRANSACTIONS,NEUTRAL,False
151,AU,GMD,,DISCHARGE OF A MORTGAGE,DISCHARGE OF A MORTGAGE,S,INFORMATION ON LICENSING AND SIMILAR TRANSACTIONS,NEUTRAL,False
152,AU,HB,,ALTERATION OF NAME IN REGISTER,ALTERATION OF NAME IN REGISTER,R,PARTY DATA CHANGE,NEUTRAL,False
