,Authority,Event-code,Influence,Description ENG,Description ORI,Event-class,Event-class Description,mapped_status,is_granted
2974,HK,AM46,,AMENDMENT OF PATENT SPECIFICATIONS AFTER GRANT UNDER SECTION 46 OF THE PATENTS ORDINANCE,AMENDMENT OF PATENT SPECIFICATIONS AFTER GRANT UNDER SECTION 46 OF THE PATENTS ORDINANCE,M,IP RIGHT MAINTENANCE,NEUTRAL,False
2975,HK,AMPC,-,"AMENDED SPECIFICATION, PATENT CEASED IN MEANTIME","AMENDED SPECIFICATION, PATENT CEASED IN MEANTIME",,,DEAD,False
2976,HK,AMPE,-,"AMENDED SPECIFICATION, PATENT EXPIRED IN MEANTIME","AMENDED SPECIFICATION, PATENT EXPIRED IN MEANTIME",,,DEAD,False
2977,HK,AMPF,+,AMENDED SPECIFICATION: PATENT STILL IN FORCE,AMENDED SPECIFICATION: PATENT STILL IN FORCE,,,ALIVE,False
2978,HK,AR,-,APPLICATION REFUSED,APPLICATION REFUSED,B,APPLICATION DISCONTINUATION,DEAD,False
2979,HK,ARF,,APPLICATION FILED FOR RESTORATION,APPLICATION FILED FOR RESTORATION,K,IP RIGHT REVIVAL,PENDING,False
2980,HK,ARG,+,RESTORATION OF STANDARD PATENT GRANTED,RESTORATION OF STANDARD PATENT GRANTED,K,IP RIGHT REVIVAL,ALIVE,True
2981,HK,ARGS,+,RESTORATION OF LAPSED SHORT-TERM PATENT,RESTORATION OF LAPSED SHORT-TERM PATENT,K,IP RIGHT REVIVAL,ALIVE,False
2982,HK,ARR,-,APPLICATION REFUSED FOR RESTORATION OF STANDARD PATENT,APPLICATION REFUSED FOR RESTORATION OF STANDARD PATENT,K,IP RIGHT REVIVAL,PENDING,False
2983,HK,AS,,CHANGE OF OWNERSHIP,CHANGE OF OWNERSHIP,R,PARTY DATA CHANGE,NEUTRAL,False
2984,HK,ASPC,-,"CHANGE OF OWNERSHIP, PATENT CEASED IN MEANTIME","CHANGE OF OWNERSHIP, PATENT CEASED IN MEANTIME",,,DEAD,False
2985,HK,ASPE,-,"CHANGE OF OWNERSHIP, PATENT EXPIRED IN MEANTIME","CHANGE OF OWNERSHIP, PATENT EXPIRED IN MEANTIME",,,DEAD,False
2986,HK,ASPF,+,"CHANGE OF OWNERSHIP, PATENT STILL IN FORCE","CHANGE OF OWNERSHIP, PATENT STILL IN FORCE",,,ALIVE,False
2987,HK,AW,-,APPLICATION WITHDRAWN,APPLICATION WITHDRAWN,,,PENDING,False
2988,HK,CHPA,,CHANGE OF A PARTICULAR IN THE REGISTER (EXCEPT OF CHANGE OF OWNERSHIP),CHANGE OF A PARTICULAR IN THE REGISTER (EXCEPT OF CHANGE OF OWNERSHIP),R,PARTY DATA CHANGE,NEUTRAL,False
2989,HK,CHRG,,CHANGES IN THE REGISTER,CHANGES IN THE REGISTER,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
