year,pat7,pat8,pat9,pat10
1985,1,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,1,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,0,0,0,2
1997,0,0,0,1
1998,1,0,3,1
1999,0,0,6,3
2000,0,0,14,2
2001,2,0,26,3
2002,1,0,32,7
2003,1,0,36,4
2004,3,1,21,5
2005,2,0,22,5
2006,0,0,29,6
2007,2,0,33,11
2008,1,0,26,10
2009,2,0,37,17
2010,1,0,39,26
2011,0,0,29,19
2012,3,0,40,28
2013,1,0,14,32
2014,1,2,10,26
2015,4,1,19,27
2016,2,5,10,29
2017,5,11,9,27
2018,13,20,9,40
2019,42,22,9,27
2020,51,50,6,29
2021,72,63,2,29
2022,57,63,6,24
2023,55,63,8,27
2024,91,114,0,21
2025,85,85,5,12
