year,pat11,pat12,pat13,pat14
1979,1,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,2,0,0,0
1986,0,0,0,0
1987,1,0,0,0
1988,0,1,0,0
1989,0,0,0,0
1990,0,1,0,0
1991,0,1,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,1,0,0
1995,0,0,0,0
1996,0,3,0,0
1997,0,1,0,2
1998,3,2,0,4
1999,1,5,0,2
2000,2,1,0,2
2001,1,7,0,9
2002,6,17,0,10
2003,3,16,0,12
2004,2,15,0,9
2005,7,19,0,9
2006,11,22,0,17
2007,29,22,0,7
2008,21,19,0,10
2009,37,20,0,17
2010,49,15,2,8
2011,33,13,6,10
2012,36,15,9,7
2013,32,22,18,13
2014,31,17,30,17
2015,22,22,30,24
2016,24,31,27,49
2017,27,22,28,41
2018,25,32,28,36
2019,23,19,30,17
2020,15,23,33,44
2021,23,14,47,34
2022,10,22,58,36
2023,7,12,56,22
2024,11,19,52,27
2025,5,29,46,5
