year,pat15,pat16,pat17,pat18
1965,0,0,0,1
1966,0,0,0,0
1967,0,0,0,0
1968,0,1,0,1
1969,0,0,0,4
1970,0,0,0,2
1971,0,0,0,5
1972,0,0,0,3
1973,0,0,0,5
1974,0,0,0,9
1975,0,0,0,4
1976,0,0,0,2
1977,0,0,0,5
1978,0,0,0,7
1979,0,0,0,2
1980,0,1,0,1
1981,0,0,0,8
1982,0,0,0,4
1983,0,0,0,4
1984,0,0,0,3
1985,0,0,0,5
1986,0,1,0,1
1987,0,5,0,3
1988,0,0,0,8
1989,0,2,0,4
1990,0,1,0,3
1991,0,0,0,9
1992,0,0,0,10
1993,0,0,0,11
1994,0,0,0,9
1995,0,1,1,3
1996,0,0,0,10
1997,0,1,0,5
1998,0,1,0,7
1999,0,0,1,4
2000,0,3,0,5
2001,0,3,0,0
2002,0,11,1,8
2003,0,8,2,6
2004,0,5,1,2
2005,0,9,3,8
2006,0,8,1,8
2007,0,6,5,1
2008,0,11,4,3
2009,0,5,6,8
2010,0,10,3,4
2011,1,8,11,7
2012,0,11,10,9
2013,0,10,14,6
2014,1,15,13,10
2015,0,7,24,13
2016,1,13,16,11
2017,3,22,26,13
2018,14,19,31,13
2019,26,23,36,21
2020,55,38,51,21
2021,83,48,57,29
2022,97,47,72,43
2023,98,59,53,36
2024,84,66,36,40
2025,37,21,22,13
