year,pub15,pub16,pub17,pub18
1874,0,1,0,0
1875,0,0,0,0
1876,0,0,0,0
1877,0,0,0,0
1878,0,0,0,0
1879,0,0,0,0
1880,0,0,0,0
1881,0,0,0,0
1882,0,0,0,0
1883,0,0,0,0
1884,0,0,0,0
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,0,0,0,0
1892,0,0,0,0
1893,0,0,0,0
1894,0,0,0,0
1895,0,0,0,0
1896,0,0,0,0
1897,0,0,0,0
1898,0,0,0,0
1899,0,0,0,0
1900,0,0,0,0
1901,0,0,0,0
1902,0,0,0,0
1903,0,0,0,0
1904,0,0,0,0
1905,0,0,0,0
1906,0,0,0,0
1907,0,0,0,0
1908,0,0,0,0
1909,0,0,0,0
1910,0,0,0,0
1911,0,0,0,0
1912,0,0,0,0
1913,0,0,0,0
1914,0,0,0,0
1915,0,0,0,0
1916,0,0,0,0
1917,0,0,0,0
1918,0,0,0,0
1919,0,0,0,0
1920,0,0,0,0
1921,0,0,0,0
1922,0,0,0,0
1923,0,0,0,0
1924,0,0,0,0
1925,0,1,0,0
1926,0,0,0,0
1927,0,0,0,0
1928,0,0,0,0
1929,0,0,0,0
1930,0,0,0,0
1931,0,0,0,0
1932,0,0,0,0
1933,0,0,0,0
1934,0,0,0,0
1935,0,0,0,0
1936,0,0,0,0
1937,0,0,0,0
1938,0,0,0,0
1939,0,0,0,0
1940,0,0,0,0
1941,0,0,0,0
1942,0,0,0,0
1943,0,0,0,0
1944,0,0,0,0
1945,0,0,0,0
1946,0,0,0,0
1947,0,0,0,0
1948,0,0,0,0
1949,0,0,0,0
1950,0,0,0,0
1951,0,0,0,0
1952,0,0,0,0
1953,0,0,0,0
1954,0,0,0,0
1955,0,0,0,0
1956,0,0,0,0
1957,0,0,0,0
1958,0,0,0,0
1959,0,0,0,0
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,2
1963,0,0,0,0
1964,0,0,0,0
1965,0,0,0,0
1966,0,0,0,0
1967,0,0,0,0
1968,0,0,0,0
1969,0,0,0,1
1970,0,0,0,3
1971,0,0,0,2
1972,0,0,0,0
1973,1,0,0,0
1974,0,0,0,1
1975,0,0,0,2
1976,1,0,0,0
1977,1,0,0,0
1978,0,0,0,0
1979,0,0,0,3
1980,0,0,0,0
1981,1,0,0,0
1982,0,2,0,2
1983,0,0,0,2
1984,0,0,0,0
1985,0,0,0,1
1986,0,0,0,1
1987,1,0,0,1
1988,0,0,0,0
1989,0,1,0,2
1990,0,0,0,1
1991,1,0,0,1
1992,0,0,0,5
1993,1,3,0,3
1994,1,1,0,7
1995,3,3,0,6
1996,3,6,1,7
1997,1,6,1,3
1998,1,6,1,7
1999,1,10,3,5
2000,3,13,3,4
2001,2,16,2,5
2002,3,12,7,6
2003,3,18,12,2
2004,1,20,16,6
2005,2,27,20,8
2006,5,20,15,4
2007,2,15,11,7
2008,2,22,10,7
2009,3,14,23,12
2010,2,13,19,11
2011,4,14,12,16
2012,2,17,14,11
2013,4,14,22,18
2014,10,11,14,15
2015,16,20,15,23
2016,25,9,18,18
2017,56,11,15,32
2018,88,24,30,33
2019,111,33,36,38
2020,83,32,64,38
2021,60,27,64,26
2022,61,48,61,45
2023,64,32,62,37
2024,61,42,53,37
2025,35,23,35,23
